City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,77.16,88,20,6.91,TO,1681319144
1,mataura,-46.1927,168.8643,52.48,99,100,4.92,NZ,1681319150
2,octeville,49.6261,-1.6435,46.18,87,100,33.38,FR,1681319575
3,arraial do cabo,-22.9661,-42.0278,82.36,69,40,18.41,BR,1681319147
4,norman wells,65.282,-126.8329,25.07,88,99,6.24,CA,1681319304
5,kaitangata,-46.2817,169.8464,52.77,94,100,11.5,NZ,1681319156
6,spirit river,55.7833,-118.8361,41.29,59,46,6.89,CA,1681319576
7,bindki,26.0333,80.6,88.74,13,90,5.37,IN,1681319576
8,atuona,-9.8,-139.0333,81.05,70,100,14.32,PF,1681319142
9,sur,22.5667,59.5289,83.89,56,3,7.16,OM,1681319292
10,cururupu,-1.8283,-44.8683,83.41,73,97,5.39,BR,1681319577
11,koumac,-20.5667,164.2833,75.96,85,36,4.03,NC,1681319577
12,barrow,71.2906,-156.7887,-11.18,77,75,6.91,US,1681319058
13,kapaa,22.0752,-159.319,73.72,90,75,16.11,US,1681319149
14,upernavik,72.7868,-56.1549,22.08,79,48,6.31,GL,1681319089
15,muli,2.9167,73.5667,84.11,73,32,12.82,MV,1681319291
16,dikson,73.5069,80.5464,-7.44,96,88,17.67,RU,1681319145
17,kirakira,-10.4544,161.9205,78.75,83,78,1.3,SB,1681319220
18,ancud,-41.8697,-73.8203,59.52,65,98,5.39,CL,1681319278
19,hualmay,-11.0964,-77.6139,79.02,72,88,10.85,PE,1681319243
20,narsaq,60.9167,-46.05,39.42,76,16,1.99,GL,1681319233
21,rikitea,-23.1203,-134.9692,77.07,69,21,11.92,PF,1681319141
22,phek,25.6667,94.5,52.61,38,0,0.27,IN,1681319579
23,ushuaia,-54.8,-68.3,40.66,60,40,20.71,AR,1681319134
24,mayumba,-3.432,10.6554,80.96,83,97,6.89,GA,1681319579
25,punta arenas,-53.15,-70.9167,42.91,56,0,8.05,CL,1681319129
26,puerto ayora,-0.7393,-90.3518,89.56,84,48,8.01,EC,1681318928
27,bahia blanca,-38.7196,-62.2724,64.81,43,98,10.0,AR,1681319580
28,kikwit,-5.041,18.8162,71.38,90,100,1.43,CD,1681319580
29,avarua,-21.2078,-159.775,77.05,83,75,4.61,CK,1681319147
30,mar del plata,-38.0023,-57.5575,62.94,57,40,12.66,AR,1681319156
